country,iso_code,year,population,gdp,co2
Afghanistan,AFG,2022,40578847,53303471617,10.170
Africa,,2022,1445862695,,1459.114
Africa (GCP),,2022,,,1459.103
Albania,ALB,2022,2827614,36171005594,4.498
Algeria,DZA,2022,45477391,595820067103,192.779
Andorra,AND,2022,79722,,0.423
Angola,AGO,2022,35635028,158346237030,21.089
Anguilla,AIA,2022,14202,,0.143
Antarctica,ATA,2022,,,0.000
Antigua and Barbuda,ATG,2022,92850,,0.642
Argentina,ARG,2022,45407904,854914363923,183.768
Armenia,ARM,2022,2880880,39721734780,7.699
Aruba,ABW,2022,107792,,0.888
Asia,,2022,4746329727,,22237.812
Asia (GCP),,2022,,,19455.877
Asia (excl. China and India),,2022,,,7694.873
Australia,AUS,2022,26200987,1344251444393,384.078
Austria,AUT,2022,9064678,398815419150,61.454
Azerbaijan,AZE,2022,10295307,175370552026,41.175
Bahamas,BHS,2022,397542,,2.962
Bahrain,BHR,2022,1533460,58769760175,37.827
Bangladesh,BGD,2022,169384891,858143907016,102.147
Barbados,BRB,2022,282324,3408005977,1.315
Belarus,BLR,2022,9173240,175773799265,57.121
Belgium,BEL,2022,11641814,489678394377,88.915
Belize,BLZ,2022,402741,,0.724
Benin,BEN,2022,13759507,33290362034,6.092
Bermuda,BMU,2022,64772,,0.531
Bhutan,BTN,2022,780921,,1.550
Bolivia,BOL,2022,12077156,78165311428,23.488
Bonaire Sint Eustatius and Saba,BES,2022,28654,,0.147
Bosnia and Herzegovina,BIH,2022,3204802,47069138435,20.743
Botswana,BWA,2022,2439895,39293967463,7.396
Brazil,BRA,2022,210306411,3187412907763,480.058
British Virgin Islands,VGB,2022,38346,,0.186
Brunei,BRN,2022,455374,,12.237
Bulgaria,BGR,2022,6825862,138390156500,46.932
Burkina Faso,BFA,2022,22509038,37320442404,6.542
Burundi,BDI,2022,13321102,9177077459,0.878
Cambodia,KHM,2022,17201721,65136593996,20.865
Cameroon,CMR,2022,27632770,82727797383,9.792
Canada,CAN,2022,38821259,1761295624423,547.658
Cape Verde,CPV,2022,519750,4251154554,0.598
Central African Republic,CAF,2022,5098038,3752056621,0.377
Central America (GCP),,2022,,,178.535
Chad,TCD,2022,18455319,24118013870,2.800
Chile,CHL,2022,19553033,448338105532,85.744
China,CHN,2022,1425179562,26966016991166,11711.808
Christmas Island,CXR,2022,,,0.000
Colombia,COL,2022,51737944,742716953392,89.437
Comoros,COM,2022,834191,1682076951,0.532
Congo,COG,2022,6035104,23679011891,8.728
Cook Islands,COK,2022,14747,,0.077
Costa Rica,CRI,2022,5081764,80345898158,8.010
Cote d'Ivoire,CIV,2022,30395004,121471995793,14.504
Croatia,HRV,2022,3907031,102284645672,17.585
Cuba,CUB,2022,11059822,84154971449,23.259
Curacao,CUW,2022,185350,,2.209
Cyprus,CYP,2022,1331376,34255009922,7.071
Czechia,CZE,2022,10673216,342966849621,95.040
Democratic Republic of Congo,COD,2022,102396974,91314988450,5.892
Denmark,DNK,2022,5902901,299429011832,29.094
Djibouti,DJI,2022,1137101,3395681646,0.550
Dominica,DMA,2022,66847,675098029,0.165
Dominican Republic,DOM,2022,11230734,191182362267,31.225
East Timor,TLS,2022,1369299,,0.670
Ecuador,ECU,2022,17823900,175028884708,42.066
Egypt,EGY,2022,112618252,1460427350416,249.899
El Salvador,SLV,2022,6280316,59270934820,7.913
Equatorial Guinea,GNQ,2022,1803549,20191378731,7.497
Eritrea,ERI,2022,3409450,,0.718
Estonia,EST,2022,1350093,39999856613,11.966
Eswatini,SWZ,2022,1218921,9594910875,1.028
Ethiopia,ETH,2022,125384285,269977225159,16.960
Europe,,2022,748314268,,5095.635
Europe (GCP),,2022,,,5095.634
Europe (excl. EU-27),,2022,,,2358.689
Europe (excl. EU-28),,2022,,,2047.571
European Union (27),,2022,449113463,,2736.946
European Union (28),,2022,,,3048.064
Faroe Islands,FRO,2022,54039,,0.723
Fiji,FJI,2022,919428,,1.389
Finland,FIN,2022,5569300,226154847456,36.337
France,FRA,2022,66277412,2671568767031,295.304
French Polynesia,PYF,2022,280388,,0.887
Gabon,GAB,2022,2430750,36035291983,5.783
Gambia,GMB,2022,2636472,4656793663,0.808
Georgia,GEO,2022,3794782,70528605169,12.000
Germany,DEU,2022,84086227,3909612753939,667.843
Ghana,GHA,2022,33149152,145431875240,20.745
Greece,GRC,2022,10412481,263892672733,57.609
Greenland,GRL,2022,56014,,0.587
Grenada,GRD,2022,116928,,0.342
Guatemala,GTM,2022,17847877,146224632616,18.913
Guinea,GIN,2022,14055136,23678257190,4.052
Guinea-Bissau,GNB,2022,2105535,3259313986,0.344
Guyana,GUY,2022,821638,,4.397
Haiti,HTI,2022,11503603,17550916862,2.870
High-income countries,,2022,1410112397,,14274.797
Honduras,HND,2022,10463880,49738252980,11.742
Hong Kong,HKG,2022,7465913,356690492875,30.764
Hungary,HUN,2022,9684308,285385229433,45.267
Iceland,ISL,2022,380368,16019540441,3.598
India,IND,2022,1425423209,10476248645535,2831.132
Indonesia,IDN,2022,278830527,3500093638879,758.021
International aviation,,2022,,,407.078
International shipping,,2022,,,558.591
Iran,IRN,2022,89524247,1572209055082,767.178
Iraq,IRQ,2022,44070556,527639326800,217.644
Ireland,IRL,2022,5110015,308390920561,36.676
Israel,ISR,2022,9103143,336722563455,62.267
Italy,ITA,2022,59619106,2136009300257,340.115
Jamaica,JAM,2022,2839150,20019224153,7.908
Japan,JPN,2022,124997585,4774494846664,1029.645
Jordan,JOR,2022,11256269,99281825499,22.428
Kazakhstan,KAZ,2022,20034612,503634062609,274.346
Kenya,KEN,2022,54252458,190362153076,20.544
Kiribati,KIR,2022,130483,,0.070
Kosovo,,2022,1717950,,8.569
Kuwait,KWT,2022,4589514,218961227193,115.849
Kuwaiti Oil Fires,,2022,,,
Kuwaiti Oil Fires (GCP),,2022,,,0.000
Kyrgyzstan,KGZ,2022,6955792,31703003147,11.513
Laos,LAO,2022,7559008,54953902901,22.549
Latvia,LVA,2022,1881059,51248480035,6.608
Least developed countries (Jones et al.),,2022,,,
Lebanon,LBN,2022,5744492,48741710654,15.361
Lesotho,LSO,2022,2286112,4761723180,2.551
Liberia,LBR,2022,5373297,4231561135,0.864
Libya,LBY,2022,7223804,91444480945,58.974
Liechtenstein,LIE,2022,39338,,0.128
Lithuania,LTU,2022,2816923,84814257826,12.895
Low-income countries,,2022,715844683,,202.700
Lower-middle-income countries,,2022,3044254723,,4626.043
Luxembourg,LUX,2022,653315,36128358732,7.274
Macao,MAC,2022,704360,,1.049
Madagascar,MDG,2022,30437261,38602188321,4.210
Malawi,MWI,2022,20568731,26465351444,1.801
Malaysia,MYS,2022,34695494,877584198429,281.884
Maldives,MDV,2022,524116,,2.216
Mali,MLI,2022,23072641,30551085997,7.020
Malta,MLT,2022,528194,18295132993,1.774
Marshall Islands,MHL,2022,40094,,0.148
Mauritania,MRT,2022,4875644,15674544913,5.267
Mauritius,MUS,2022,1276134,26988574640,4.317
Mexico,MEX,2022,128613116,2033437602787,453.799
Micronesia (country),FSM,2022,112122,,0.145
Middle East (GCP),,2022,,,2790.371
Moldova,MDA,2022,3039986,23827554273,5.173
Monaco,MCO,2022,38950,,
Mongolia,MNG,2022,3386015,44809463232,40.443
Montenegro,MNE,2022,614649,12774399882,2.495
Montserrat,MSR,2022,4476,,0.026
Morocco,MAR,2022,37329068,311654947615,69.779
Mozambique,MOZ,2022,32656242,31441725629,9.296
Myanmar,MMR,2022,53756791,291025085135,31.639
Namibia,NAM,2022,2889668,21858730428,3.414
Nauru,NRU,2022,11822,,0.059
Nepal,NPL,2022,29715435,95965910597,17.609
Netherlands,NLD,2022,17904421,879609110665,127.503
New Caledonia,NCL,2022,287130,,5.116
New Zealand,NZL,2022,5131731,200602760076,31.966
Nicaragua,NIC,2022,6730662,32764782125,5.131
Niger,NER,2022,25311978,24776754234,3.201
Nigeria,NGA,2022,223150906,1134448580250,131.441
Niue,NIU,2022,1844,,0.007
Non-OECD (GCP),,2022,,,24901.666
North America,,2022,604356255,,6236.024
North America (GCP),,2022,,,6057.500
North America (excl. USA),,2022,,,1180.621
North Korea,PRK,2022,26328843,40488847458,56.289
North Macedonia,MKD,2022,1840236,28770256385,7.352
